"year","fips","total_population","state_name","abbr","pack_sales_per_capita","tax_per_pack","baseline_price_per_pack","total_cigarette_consumption","baseline_state_tax_revenue","baseline_num_smokers","baseline_prev","census_total_pop","baseline_avg_smoking_intensity","policy_prev","pct_increase_price_per_pack","pct_reduction_intensity","policy_smoking_intensity","policy_num_smokers","policy_total_cig_consumption","policy_state_tax_revenue","revenue_gain"
2027,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,94066.5164437027,0.128388130098561,732673,236.782013856442,0.125077282386018,0.161681487469685,-0.0323362974939369,229.125360215166,91640.7477176107,20997219.3311847,83988877.3247389,39442358.9247389
2028,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,92526.5136614397,0.126286233642348,732673,240.722991914504,0.121939184658735,0.161681487469685,-0.0323362974939369,232.938901634326,89341.5482414694,20811122.117678,83244488.4707121,38697970.0707121
2029,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,91084.1456010773,0.124317595436269,732673,244.534974259412,0.119219134665087,0.161681487469685,-0.0323362974939369,236.627618584088,87348.641052473,20669100.918803,82676403.6752119,38129885.2752119
2030,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,89732.7056517047,0.12247306185939,732673,248.217849202643,0.116840315415937,0.161681487469685,-0.0323362974939369,240.191402987521,85605.7444167405,20561763.8552481,82247055.4209923,37700537.0209923
2031,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,88466.5926222317,0.120744988040001,732673,251.770284576358,0.114743272627442,0.161681487469685,-0.0323362974939369,243.628965754164,84069.2977857657,20481716.0712249,81926864.2848995,37380345.8848995
2032,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,87281.0759167068,0.119126917351543,732673,255.190016461937,0.112881695914147,0.161681487469685,-0.0323362974939369,246.938116172141,82705.370790506,20423108.460326,81692433.841304,37145915.4413039
2033,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,86172.0993536255,0.117613313652374,732673,258.474139159555,0.111219395653807,0.161681487469685,-0.0323362974939369,250.116042501202,81487.448271862,20381318.0752796,81525272.3011183,36978753.9011183
2034,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,85136.1245939463,0.116199347586094,732673,261.619369054341,0.109727942476506,0.161681487469685,-0.0323362974939369,253.159567306424,80394.7007980888,20352687.6677735,81410750.6710942,36864232.2710942
2035,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,84170.0127145375,0.114880734945245,732673,264.622262509805,0.108384877431184,0.161681487469685,-0.0323362974939369,256.06535830577,79410.673302138,20334322.5124144,81337290.0496576,36790771.6496576
2036,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,83270.9358362688,0.113653616055551,732673,267.479390934128,0.107172349583345,0.161681487469685,-0.0323362974939369,258.830097775385,78522.2868862784,20323931.1923222,81295724.7692889,36749206.3692889
2037,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,82436.3106561896,0.112514465056293,732673,270.187481981008,0.106076070455451,0.161681487469685,-0.0323362974939369,261.450619184532,77719.0727688069,20319699.6978523,81278798.7914091,36732280.3914092
2038,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,81663.7463838483,0.111460018840394,732673,272.743539040052,0.105084508119561,0.161681487469685,-0.0323362974939369,263.924022822103,76992.5818174832,20320191.9207301,81280767.6829203,36734249.2829203
2039,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,80951.0061436324,0.11048722437381,732673,275.144933473468,0.104188269232045,0.161681487469685,-0.0323362974939369,266.24776505072,76335.9317830501,20324271.2303013,81297084.9212053,36750566.5212053
2040,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,80295.9757252154,0.109593196044095,732673,277.38948308222,0.103379621978464,0.161681487469685,-0.0323362974939369,268.419734235584,75743.457773827,20331038.8057348,81324155.2229393,36777636.8229393
2041,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,79696.5912107448,0.108775116881262,732673,279.475682229645,0.102652066414293,0.161681487469685,-0.0323362974939369,270.438473426746,75210.3974559595,20339785.0738085,81359140.295234,36812621.895234
2042,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,79150.6227172827,0.108029943395325,732673,281.403461341772,0.101999795504051,0.161681487469685,-0.0323362974939369,272.3039153,74732.4961713394,20349951.307598,81399805.230392,36853286.830392
2043,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,78655.601206266,0.107354305681069,732673,283.1744829156,0.101417398293353,0.161681487469685,-0.0323362974939369,274.017668593349,74305.789459786,20361099.1907588,81444396.7630353,36897878.3630353
2044,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,78208.7963201461,0.106744477168049,732673,284.792251613551,0.100899673233096,0.161681487469685,-0.0323362974939369,275.583124641407,73926.4662867121,20372886.5729897,81491546.291959,36945027.891959
2045,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,77807.198159051,0.106196349748184,732673,286.262193305942,0.100441481265855,0.161681487469685,-0.0323362974939369,277.005533861934,73590.7614034981,20385048.1498822,81540192.5995288,36993674.1995289
2046,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,77447.5078560077,0.105705420912205,732673,287.591683923658,0.100037636911326,0.161681487469685,-0.0323362974939369,278.29203367552,73294.875548732,20397379.9744508,81589519.8978032,37043001.4978032
2047,"02",732673,"Alaska","AK",30.4,2,12.37,22273259.2,44546518.4,77126.1372285676,0.105266793274172,732673,288.790026317433,0.0996828319034315,0.161681487469685,-0.0323362974939369,279.451626113151,73034.9194991828,20409727.0170897,81638908.0683588,37092389.6683588
